input,State
p:mid,Critical
"p:mid,p:mid",Critical
"p:mid,p:mid,p:mid",Critical
"p:mid,p:mid,p:mid,p:mid",Critical
"p:mid,p:mid,p:mid,p:mid,p:mid",Critical
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Critical
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Critical
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Critical
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Critical
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Critical
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Critical
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Critical
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:high,p:high,p:high",Nominal
