input,State
p:mid,Critical
"p:mid,p:mid",Critical
"p:mid,p:mid,p:mid",Critical
"p:mid,p:mid,p:mid,p:mid",Critical
"p:mid,p:mid,p:mid,p:mid,p:mid",Critical
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high",Critical
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Caution
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high",Nominal
"p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:mid,p:high,p:low",Nominal
