input,State
t:high,Critical
"t:high,t:high",Critical
"t:high,t:high,t:high",Critical
"t:high,t:high,t:high,t:high",Critical
"t:high,t:high,t:high,t:high,t:high",Critical
"t:high,t:high,t:high,t:high,t:high,t:mid",Critical
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid",Nominal
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid,t:mid",Nominal
"t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid,t:mid,t:mid",Nominal
