input,State
p:mid t:high,Nominal
"p:mid t:high,p:mid t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:low t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:low t:high,p:low t:mid",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:low t:high,p:low t:mid,p:high t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:low t:high,p:low t:mid,p:high t:high,p:high t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:low t:high,p:low t:mid,p:high t:high,p:high t:high,p:high t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:low t:high,p:low t:mid,p:high t:high,p:high t:high,p:high t:high,p:high t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:low t:high,p:low t:mid,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:low t:high,p:low t:mid,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:low t:high,p:low t:mid,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:low t:high,p:low t:mid,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:low t:high,p:low t:mid,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high",Nominal
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:low t:high,p:low t:mid,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high",Caution
"p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:mid t:high,p:low t:high,p:low t:mid,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high,p:high t:high",Critical
