input,State
t:high,Nominal
"t:high,t:high",Nominal
"t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:mid,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Critical
