method,mode,accuracy,correct_steps,total_steps
MELA,pitchwheel_throttle,100.0,5,5
MELA,pitchwheel_throttle,100.0,1,1
MELA,pitchwheel_throttle,100.0,18,18
MELA,pitchwheel_throttle,100.0,1,1
MELA,pitchwheel_throttle,100.0,1,1
MELA,pitchwheel_throttle,100.0,1,1
MELA,pitchwheel,100.0,5,5
MELA,pitchwheel,100.0,1,1
MELA,pitchwheel,100.0,18,18
MELA,pitchwheel,100.0,1,1
MELA,pitchwheel,100.0,1,1
MELA,pitchwheel,100.0,1,1
MELA,throttle,100.0,5,5
MELA,throttle,100.0,1,1
MELA,throttle,100.0,18,18
MELA,throttle,100.0,1,1
MELA,throttle,100.0,1,1
MELA,throttle,100.0,1,1
manual,pitchwheel_throttle,100.0,5,5
manual,pitchwheel_throttle,0.0,0,1
manual,pitchwheel_throttle,0.0,0,18
manual,pitchwheel_throttle,0.0,0,1
manual,pitchwheel_throttle,0.0,0,1
manual,pitchwheel_throttle,0.0,0,1
manual,pitchwheel,100.0,5,5
manual,pitchwheel,100.0,1,1
manual,pitchwheel,0.0,0,18
manual,pitchwheel,0.0,0,1
manual,pitchwheel,0.0,0,1
manual,pitchwheel,0.0,0,1
manual,throttle,100.0,5,5
manual,throttle,0.0,0,1
manual,throttle,0.0,0,18
manual,throttle,0.0,0,1
manual,throttle,0.0,0,1
manual,throttle,0.0,0,1
