method,mode,accuracy,correct_steps,total_steps
MELA,pitchwheel_throttle,100.0,10,10
MELA,pitchwheel_throttle,100.0,1,1
MELA,pitchwheel_throttle,100.0,1,1
MELA,pitchwheel_throttle,100.0,1,1
MELA,pitchwheel_throttle,87.5,7,8
MELA,pitchwheel_throttle,0.0,0,2
MELA,pitchwheel,100.0,10,10
MELA,pitchwheel,100.0,1,1
MELA,pitchwheel,100.0,1,1
MELA,pitchwheel,100.0,1,1
MELA,pitchwheel,87.5,7,8
MELA,pitchwheel,0.0,0,2
MELA,throttle,100.0,10,10
MELA,throttle,100.0,1,1
MELA,throttle,100.0,1,1
MELA,throttle,100.0,1,1
MELA,throttle,87.5,7,8
MELA,throttle,0.0,0,2
manual,pitchwheel_throttle,100.0,10,10
manual,pitchwheel_throttle,0.0,0,1
manual,pitchwheel_throttle,0.0,0,1
manual,pitchwheel_throttle,0.0,0,1
manual,pitchwheel_throttle,0.0,0,8
manual,pitchwheel_throttle,0.0,0,2
manual,pitchwheel,100.0,10,10
manual,pitchwheel,0.0,0,1
manual,pitchwheel,0.0,0,1
manual,pitchwheel,0.0,0,1
manual,pitchwheel,0.0,0,8
manual,pitchwheel,0.0,0,2
manual,throttle,100.0,10,10
manual,throttle,100.0,1,1
manual,throttle,0.0,0,1
manual,throttle,0.0,0,1
manual,throttle,0.0,0,8
manual,throttle,0.0,0,2
